id_especies,species
251,Elaenia albiceps
252,Elaenia flavogaster
253,Elaenia pallatangae
254,Elanoides forficatus
255,Elanus leucurus
256,Electron platyrhynchum
257,Empidonax virescens
258,Epinecrophylla fulviventris
259,Eriocnemis vestita
260,Eubucco bourcierii
261,Euchrepomis callinota
262,Eudocimus albus
263,Euphonia cyanocephala
264,Euphonia fulvicrissa
265,Euphonia laniirostris
266,Euphonia saturata
267,Euphonia xanthogaster
268,Eurypyga helias
269,Euscarthmus meloryphus
270,Eutoxeres aquila
271,Falco columbarius
272,Falco femoralis
273,Falco peregrinus
274,Falco rufigularis
275,Falco sparverius
276,Florisuga mellivora
277,Fluvicola nengeta
278,Formicarius nigricapillus
279,Formicarius rufipectus
280,Forpus coelestis
281,Fregata magnificens
282,Fulica ardesiaca
283,Furnarius cinnamomeus
284,Furnarius leucopus
285,Furnarius torridus
286,Galbula ruficauda
287,Gallinago jamesoni
288,Gallinula galeata
289,Gampsonyx swainsonii
290,Gelochelidon nilotica
291,Geositta peruviana
292,Geothlypis aequinoctialis
293,Geothlypis auricularis
294,Geothlypis semiflava
295,Geotrygon montana
296,Geranoaetus melanoleucus
297,Geranoaetus polyosoma
298,Geranospiza caerulescens
299,Glaucidium jardinii
300,Glaucidium peruanum
301,Glaucis aeneus
302,Glyphorynchus spirurus
303,Grallaria andicolus
304,Grallaria guatimalensis
305,Grallaria haplonota
306,Grallaria nuchalis
307,Grallaria quitensis
308,Grallaria ruficapilla
309,Grallaria rufula
310,Grallaria squamigera
311,Grallaria watkinsi
312,Grallaricula flavirostris
313,Gymnopithys leucaspis
314,Haematopus palliatus
315,Haplospiza rustica
316,Harpagus bidentatus
317,Heliangelus amethysticollis
318,Heliangelus micraster
319,Heliangelus strophianus
320,Heliangelus viola
321,Heliodoxa imperatrix
322,Heliodoxa jacula
323,Heliodoxa rubinoides
324,Heliomaster longirostris
325,Heliothryx barroti
326,Hellmayrea gularis
327,Hemispingus atropileus
328,Hemispingus melanotis
329,Hemispingus superciliaris
330,Hemispingus verticalis
331,Hemithraupis guira
332,Hemitriccus granadensis
333,Henicorhina leucophrys
334,Herpetotheres cachinnans
335,Herpsilochmus rufimarginatus
336,Heterospingus xanthopygius
337,Himantopus mexicanus
338,Hirundo rustica
339,Hylocryptus erythrocephalus
340,Hylopezus perspicillatus
341,Hylophylax naevioides
342,Icterus graceannae
343,Icterus mesomelas
344,Ictinia plumbea
345,Iridosornis rufivertex
346,Ixobrychus exilis
347,Jacana jacana
348,Knipolegus aterrimus
349,Knipolegus orenocensis
350,Lafresnaya lafresnayi
351,Larosterna inca
352,Larus belcheri
353,Larus dominicanus
354,Laterallus albigularis
355,Laterallus exilis
356,Lathrotriccus griseipectus
357,Legatus leucophaius
358,Lepidocolaptes lachrymiger
359,Lepidocolaptes souleyetii
360,Lepidothrix coronata
361,Leptasthenura pileata
362,Leptodon cayanensis
363,Leptopogon superciliaris
364,Leptosittaca branickii
365,Leptotila ochraceiventris
366,Leptotila pallida
367,Leptotila rufaxilla
368,Leptotila verreauxi
369,Lesbia nuna
370,Lesbia victoriae
371,Leucippus baeri
372,Leucippus taczanowskii
373,Leucophaeus atricilla
374,Leucophaeus modestus
375,Leucophaeus pipixcan
376,Leucopternis semiplumbeus
377,Limnodromus griseus
378,Limosa fedoa
379,Limosa haemastica
380,Lipaugus unirufus
381,Lophostrix cristata
382,Lophotriccus pileatus
383,Lurocalis semitorquatus
384,Machaeropterus deliciosus
385,Malacoptila panamensis
386,Manacus manacus
387,Margarornis squamiger
388,Masius chrysopterus
389,Mecocerculus calopterus
390,Mecocerculus leucophrys
391,Mecocerculus poecilocercus
392,Mecocerculus stictopterus
393,Megaceryle torquata
394,Megarynchus pitangua
395,Megascops albogularis
396,Megascops guatemalae
397,Megascops koepckeae
398,Megascops roboratus
399,Melanerpes pucherani
400,Melanopareia elegans
401,Metallura phoebe
402,Metallura tyrianthina
403,Metallura williami
404,Metriopelia ceciliae
405,Micrastur ruficollis
406,Micrastur ruficollis 
407,Micrastur semitorquatus
408,Microbates cinereiventris
409,Microcerculus marginatus
410,Micromonacha lanceolata
411,Microrhopias quixensis
412,Mimus longicaudatus
413,Mionectes oleagineus
414,Mionectes olivaceus
415,Mionectes striaticollis
416,Mitrospingus cassinii
417,Mniotilta varia
418,Molothrus bonariensis
419,Molothrus oryzivorus
420,Momotus momota
421,Momotus subrufescens
422,Morphnarchus princeps
423,Muscigralla brevicauda
424,Muscisaxicola albilora
425,Muscisaxicola maculirostris
426,Mustelirallus erythrops 
427,Myadestes ralloides
428,Mycteria americana
429,Myiarchus phaeocephalus
430,Myiarchus semirufus
431,Myiarchus tuberculifer
432,Myiobius atricaudus
433,Myiobius barbatus
434,Myiobius sulphureipygius
435,Myioborus melanocephalus
436,Myioborus miniatus
437,Myiodynastes bairdii
438,Myiodynastes chrysocephalus
439,Myiodynastes maculatus
440,Myiopagis caniceps
441,Myiopagis subplacens
442,Myiopagis viridicata
443,Myiophobus fasciatus
444,Myiophobus flavicans
445,Myiophobus phoenicomitra
446,Myiornis ecaudatus
447,Myiotheretes fumigatus
448,Myiotheretes striaticollis
449,Myiothlypis coronata
450,Myiothlypis fraseri
451,Myiothlypis fulvicauda
452,Myiothlypis luteoviridis
453,Myiothlypis nigrocristata
454,Myiothlypis nigrocristatus
455,Myiotriccus ornatus
456,Myiozetetes cayanensis
457,Myiozetetes granadensis
458,Myiozetetes similis
459,Myornis senilis 
460,Myrmeciza exsul
461,Myrmeciza griseiceps
462,Myrmeciza immaculata
463,Myrmeciza nigricauda
464,Myrmeciza zeledoni
465,Myrmia micrura
466,Myrmotherula axillaris
467,Myrmotherula pacifica
468,Myrmotherula schisticolor
469,Myrtis fanny
470,Nephelomyias lintoni
471,Netta erythrophthalma
472,Nomonyx dominicus
473,Notharchus hyperrhynchus
474,Notharchus tectus
475,Nothoprocta pentlandii
476,Numenius phaeopus
477,Nyctanassa violacea
478,Nyctibius griseus
479,Nycticorax nycticorax
480,Nyctidromus albicollis
481,Nyctidromus anthonyi
482,Nystalus radiatus
483,Oceanites gracilis
484,Oceanites oceanicus
485,Oceanodroma homochroa
486,Oceanodroma melania
487,Oceanodroma tethys
488,Ochthoeca cinnamomeiventris
489,Ochthoeca diadema
490,Ochthoeca frontalis
491,Ochthoeca fumicolor
492,Ochthoeca jelskii
493,Ochthoeca piurae 
494,Ochthoeca rufipectoralis
495,Ocreatus underwoodii
496,Odontophorus erythrops
497,Onychoprion anaethetus
498,Onychorhynchus coronatus
499,Onychorhynchus occidentalis
500,Oreopholus ruficollis
501,Ornithion brunneicapillus
502,Orochelidon murina
503,Ortalis erythroptera
504,Oxyura jamaicensis
505,Pachyramphus aglaiae
506,Pachyramphus albogriseus
507,Pachyramphus cinnamomeus
508,Pachyramphus homochrous
509,Pachyramphus polychopterus
510,Pachyramphus spodiurus
511,Pachyramphus versicolor
512,Pachysylvia decurtata
513,Pandion haliaetus
514,Panyptila cayennensis
515,Parabuteo leucorrhous
516,Parabuteo unicinctus
517,Pardirallus maculatus
518,Pardirallus sanguinolentus
519,Parkesia noveboracensis
520,Passer domesticus
521,Patagioenas cayennensis
522,Patagioenas fasciata
523,Patagioenas goodsoni
524,Patagioenas oenops
525,Patagioenas plumbea
526,Patagioenas speciosa
527,Patagioenas subvinacea
528,Patagona gigas
529,Pelecanoides garnotii
530,Pelecanus occidentalis
531,Pelecanus thagus
532,Penelope albipennis
533,Penelope barbata
534,Penelope purpurascens
535,Petrochelidon rufocollaris
536,Phaeomyias murina
537,Phaethon aethereus
538,Phaethoris griseogularis
539,Phaethornis longirostris
540,Phaethornis striigularis
541,Phaethornis syrmatophorus
542,Phaethornis yaruqui
543,Phalacrocorax bougainvillii
544,Phalacrocorax brasilianus
545,Phalacrocorax gaimardi
546,Phalaropus fulicarius
547,Phalaropus lobatus
548,Phalaropus tricolor
549,Phalcoboenus carunculatus
550,Phalcoboenus megalopterus
551,Pharomachrus antisianus
552,Pharomachrus auriceps
553,Pheucticus chrysogaster
554,Pheucticus ludovicianus
555,Pheugopedius euophrys
556,Pheugopedius mystacalis
557,Pheugopedius sclateri
558,Philydor fuscipenne
559,Philydor rufum
560,Phleocryptes melanops 
561,Phoebastria irrorata
562,Phoenicopterus chilensis
563,Phrygilus alaudinus
564,Phrygilus fruticeti
565,Phrygilus plebejus
566,Phrygilus punensis
