id_aves,codigo,sinonimo,nombre,morfometria,endenismo,migraciòn,ecologia,behaviour,anio_publicacion,anio_colleccion,familia_id_familia,especies_id_especies,uicn_id_UICN
21346,UTPL_A0862,,Horned Screamer,,,,,,,,4,36,8
21347,UTPL_A0535,Columba cayannensis,Pale-vented Pigeon,,,,,,,,18,521,8
21348,UTPL_A0729,,Peruvian Meadowlark,,,,,,,,37,711,1
21349,UTPL_A0252,,Scrub Blackbird,,,,,,,,37,243,1
21350,UTPL_A0443,,Shiny Cowbird,,,,,,,,37,418,1
21351,UTPL_A0215,,Smooth-billed Ani,,,,,,,,23,212,8
21352,UTPL_A0484,,Short-tailed Woodstar,,BT,,,,,,77,465,8
21353,UTPL_A0437,,Long-tailed Mockingbird,,,,,,,,42,412,1
21354,UTPL_A0427,,Elegant Crescentchest,,BT,,,,,,41,400,1
21355,UTPL_A0448,,Short-tailed Field-Tyrant,,,,,,,,81,423,1
21356,UTPL_A0851,,West Peruvian Dove,,,,,,,,18,827,1
21357,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21358,UTPL_A0152,,Collared Plover,,,,,,,,15,149,8
21359,UTPL_A0823,,Ecuadorian Thrush,,BT,,,,,,80,800,8
21360,UTPL_A0038,,Black-throated Mango,,,,,,,,77,42,8
21361,UTPL_A0038,,Black-throated Mango,,,,,,,,77,42,8
21362,UTPL_A0038,,Black-throated Mango,,,,,,,,77,42,8
21363,UTPL_A0038,,Black-throated Mango,,,,,,,,77,42,8
21364,UTPL_A0103,,Yellow-rumped Cacique,,,,,,,,37,104,1
21365,UTPL_A0215,,Smooth-billed Ani,,,,,,,,23,212,8
21366,UTPL_A0215,,Smooth-billed Ani,,,,,,,,23,212,8
21367,UTPL_A0252,,Scrub Blackbird,,,,,,,,37,243,1
21368,UTPL_A0113,,Least Sandpiper,,,MB,,,,,66,116,8
21369,UTPL_A0355,,Black-necked Stilt,,,,,,,,63,337,8
21370,UTPL_A0372,,Wattled Ja�ana,,,,,,,,39,347,8
21371,UTPL_A0372,,Wattled Ja�ana,,,,,,,,39,347,8
21372,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21373,UTPL_A0372,,Wattled Ja�ana,,,,,,,,39,347,8
21374,UTPL_A0372,,Wattled Ja�ana,,,,,,,,39,347,8
21375,UTPL_A0560,,Neotropic Cormorant,,,,,,,,53,544,8
21376,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21377,UTPL_A0672,Bueteo magnirostris,Roadside Hawk,,,,,,,,1,653,8
21378,UTPL_A0317,,Peruvian Pygmy-Owl,,BT,,,,,,69,300,1
21379,UTPL_A0097,,Savanna Hawk,,,,,,,,1,99,8
21380,UTPL_A0317,,Peruvian Pygmy-Owl,,BT,,,,,,69,300,1
21381,UTPL_A0158,,Green Kingfisher,,,,,,,,2,154,8
21382,UTPL_A0158,,Green Kingfisher,,,,,,,,2,154,8
21383,UTPL_A0158,,Green Kingfisher,,,,,,,,2,154,8
21384,UTPL_A0085,,Gray-cheeked Parakeet,,BT,,,,,,60,87,8
21385,UTPL_A0085,,Gray-cheeked Parakeet,,BT,,,,,,60,87,8
21386,UTPL_A0495,,Common Potoo,,,,,,,,45,478,1
21387,UTPL_A0895,,Dark-billed Cuckoo,,,MA - C,,,,,23,181,8
21388,UTPL_A0895,,Dark-billed Cuckoo,,,MA - C,,,,,23,181,8
21389,UTPL_A0835,,Scarlet-backed Woodpecker,,BT,,,,,,55,814,1
21390,UTPL_A0191,Piculus rubiginosus,Golden-olive Woodpecker,,,,,,,,55,189,8
21391,UTPL_A0385,,Streak-headed Woodcreeper,,,,,,,,31,359,1
21392,UTPL_A0385,,Streak-headed Woodcreeper,,,,,,,,31,359,1
21393,UTPL_A0462,,Streaked Flycatcher,,,MA - C,,,,,81,439,1
21394,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21395,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21396,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21397,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21398,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21399,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21400,UTPL_A0652,,Vermilion Flycatcher,,,MA - C,,,,,81,634,1
